City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,valparaiso,-33.0393,-71.6273,21.19,63,0,4.63,CL,1712856713
150,teploye,53.6202,37.5903,14.490000000000007,69,100,3.43,RU,1712856744
151,port mathurin,-19.6833,63.4167,27.21000000000004,76,28,3.61,MU,1712856745
152,razole,16.4833,81.8333,24.46000000000004,89,4,1.45,IN,1712856745
153,la passe,45.5549,-0.8967,18.129999999999995,85,88,3.54,FR,1712856745
154,sagna,46.9833,27.0167,19.510000000000048,68,44,3.14,RO,1712856746
155,kapuskasing,49.4169,-82.4331,17.05000000000001,42,75,4.63,CA,1712856456
156,codrington,-38.2667,141.9667,13.53000000000003,66,100,2.54,AU,1712856746
157,igarka,67.4667,86.5833,-28.319999999999965,100,23,2.24,RU,1712856746
158,qarazhal,48.0078,70.7903,2.1000000000000227,71,68,7.02,KZ,1712856747
159,lihue,21.9789,-159.3672,23.58000000000004,86,75,1.54,US,1712856747
160,tazacorte,28.629,-17.9293,23.54000000000002,64,0,6.17,ES,1712856747
161,ipameri,-17.7219,-48.1597,29.55000000000001,52,87,1.55,BR,1712856748
162,keflavik,64.0049,-22.5624,7.950000000000045,81,100,9.26,IS,1712856748
163,yarmouth,41.7057,-70.2286,12.200000000000044,95,100,2.57,US,1712856711
164,aberglasslyn,-32.7,151.5333,17.57000000000005,97,10,1.23,AU,1712856749
165,saipan,15.1355,145.701,27.390000000000043,83,40,5.66,MP,1712856749
166,vinh long,10.25,105.9667,27.99000000000001,77,50,5.61,VN,1712856750
167,usogorsk,63.4106,48.6872,4.810000000000002,100,100,7.19,RU,1712856751
168,general roca,-39.0333,-67.5833,15.900000000000034,38,100,8.0,AR,1712856739
169,borogontsy,62.6683,131.1683,0.3500000000000227,95,100,3.1,RU,1712856752
170,akureyri,65.6835,-18.0878,2.9600000000000364,70,100,2.06,IS,1712856752
171,kingston,17.997,-76.7936,32.870000000000005,63,20,11.83,JM,1712856655
172,lib,8.3122,167.3766,27.610000000000014,77,95,9.7,MH,1712856753
173,bredasdorp,-34.5322,20.0403,14.879999999999995,67,0,5.13,ZA,1712856753
174,sevastopol,44.6,33.5333,17.220000000000027,45,26,2.3,UA,1712856753
175,luganville,-15.5333,167.1667,24.58000000000004,85,55,0.87,VU,1712856754
176,kadnikov,59.5022,40.338,11.57000000000005,62,8,5.6,RU,1712856754
177,mazouna,36.1223,0.8987,16.920000000000016,45,0,6.55,DZ,1712856754
178,kadugli,11.0167,29.7167,32.75,9,9,3.64,SD,1712856755
179,tacuarembo,-31.7333,-55.9833,20.230000000000015,61,44,6.65,UY,1712856755
180,miass,55.045,60.1083,7.439999999999998,74,78,1.79,RU,1712856755
181,east london,-33.0153,27.9116,15.52000000000004,77,75,9.77,ZA,1712856756
182,afaahiti,-17.75,-149.2833,26.930000000000007,85,66,7.75,PF,1712856756
183,george town,5.4112,100.3354,29.410000000000025,81,20,1.03,MY,1712856595
184,margaret river,-33.95,115.0667,14.400000000000034,72,5,5.88,AU,1712856757
185,vilyuysk,63.7553,121.6247,-16.66999999999996,90,100,3.58,RU,1712856757
186,constantia,44.1833,28.65,16.5,70,1,1.5,RO,1712856585
187,suratgarh,29.3167,73.9,29.25,23,39,4.31,IN,1712856758
188,ta`u,-14.2336,-169.5144,28.400000000000038,81,17,4.18,AS,1712856758
189,ubon ratchathani,15.1667,105.1667,29.94,39,100,2.09,TH,1712856758
190,santa luzia,-19.7697,-43.8514,30.600000000000023,48,40,2.06,BR,1712856759
191,springfield,37.2153,-93.2982,15.510000000000048,53,0,10.29,US,1712856712
192,neiafu,-18.65,-173.9833,25.379999999999995,94,20,0.0,TO,1712856760
193,erenhot,43.6475,111.9767,13.060000000000002,38,22,4.15,CN,1712856760
194,brezina,33.0989,1.2608,18.340000000000032,17,30,7.45,DZ,1712856760
195,taltal,-25.4,-70.4833,20.400000000000038,72,52,3.67,CL,1712856761
196,usakos,-22.0,15.6,27.390000000000043,31,30,3.83,,1712856761
197,mananjary,-21.2167,48.3333,25.78000000000003,90,35,1.85,MG,1712856761
198,lebu,-37.6167,-73.65,15.050000000000011,59,0,2.97,CL,1712856696
199,buala,-8.145,159.5921,26.81,83,85,2.48,SB,1712856762
200,port elizabeth,-33.918,25.5701,16.170000000000016,80,0,4.12,ZA,1712856762
201,gamboma,-1.8764,15.8644,27.56,70,99,1.35,CG,1712856763
202,yemetsk,63.4721,41.7941,4.640000000000043,73,100,6.81,RU,1712856763
203,carandai,-20.9536,-43.8064,26.02000000000004,69,56,2.85,BR,1712856763
204,brookings,44.3114,-96.7984,7.32000000000005,83,100,10.8,US,1712856764
205,lerwick,60.1545,-1.1494,10.0,83,49,8.02,GB,1712856764
206,athni,16.7333,75.0667,30.160000000000025,35,17,3.95,IN,1712856764
207,aras-asan,8.8908,126.3033,24.480000000000015,89,90,1.58,PH,1712856765
208,kayangel,8.0823,134.7173,27.760000000000048,75,31,5.74,PW,1712856765
